Unnamed: 0,content,L,G,B,T,O,NR
291,casi junio sigues puta elgorgojodemorena,0,0,0,0,1,0
292,hablando lesbianas .. vieron última foto justin bieber xd,1,1,0,0,0,0
293,pellomaldonado llorar pinche maricón ganamos nunca van ganar pinch mediocres url,0,1,0,0,0,0
294,maurod_ortega mauro marica jajaja okok,0,1,0,0,0,0
295,gerrykan ay ay traes maricón,0,1,0,0,0,0
296,lamuxevip ventaneandouno elcabaretito envygdl pues envy apuesto matado url lastima escudes perfil falso tirar tanta mierda siempre maricon,0,1,0,0,0,0
297,colorsito_ pinkkokkoa callate joto ahí sigues,0,1,0,0,0,0
298,cervezas preparadas jotos,0,1,0,0,0,0
299,revistaproceso pinche joto,0,1,0,0,0,0
300,jajajajajaja perdiste default gané marica:smiling_face_with_sunglasses:,0,1,0,0,0,0
301,puto url,0,1,0,0,0,0
302,valndin dijeron gay hombre rajamos diles digo url,0,1,0,0,0,0
303,tuca_ferretti miguelherreradt si paso pinche piojo puñal jajajajaja profe tuca máximo usted vamos sexta copa,0,1,0,0,0,0
304,argentina chingan pinch holandeses maricones hijos ptm,0,1,0,0,0,0
305,vicentefoxque centrofox marica mierda,0,1,0,0,0,0
306,sopitas greciaplg pensé podías ser ma joto ahha,0,1,0,0,0,0
307,nunca visto maricon reunido,0,1,0,0,0,0
308,weey esque pinche gay lesbianas dan mal ejemplo :face_with_rolling_eyes: url,1,1,0,0,0,0
309,clubamerica excelente vamos contodo mañana ganar clasiconacional callarles hocico perras cuernos maricones chivas,0,1,0,0,0,0
310,si marido defiende nadie felicidades marido marica seteniaquedecirysedijo,0,1,0,0,0,0
311,jajajajaja k marica bloqueas wa aguantas nada:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,0,1,0,0,0,0
312,magnate ofrece mdd hombre conquiste hija lesbiana url,1,0,0,0,0,0
313,fdcradio pues medio canijo darles consulta manfloras ... gaysurltransgenerosurl posiblemente violinesurl cañurl,0,1,0,1,1,0
314,clonmil quédate vieja :winking_face_with_tongue::winking_face_with_tongue::winking_face_with_tongue: pinche viejo joto:grinning_face_with_big_eyes::grinning_face_with_big_eyes: url,0,1,0,0,0,0
315,algún día voy casar puerto partida marica digo cobarde,0,1,0,0,0,0
316,ganódelmazo neta jajajajaja patéticos priistas mierda va ganar jota closet nomaspri,1,1,0,0,0,0
317,puto maricon rayadosnosalecampeon,0,1,0,0,0,0
318,elssieip saliste escondite mariquita,0,1,0,0,0,0
319,angelmezaw hazla campos concentración matan jotos,0,1,0,0,0,0
320,davidpechsosa siempre insultas .. maricon .i veniste casa h u.u,0,1,0,0,0,0
321,evysoto costeña chile transgenero jajajajjajjaaja,0,0,0,1,0,0
322,empezando cumple marica rené juan at in guadalajara jal url,0,1,0,0,0,0
323,gusto bien maricas,0,1,0,0,0,0
324,traguese bien verga madreo puñal url,0,1,0,0,0,0
325,puto url,0,1,0,0,0,0
326,jdonadus puro joto foto avatar jajaja url,0,1,0,0,0,0
327,si gusta amigo gay automáticamente vuelve mamila url,0,1,0,0,0,0
328,¿son jotos jajaja,0,1,0,0,0,0
329,arielurosas nuxsilva ayuññ po dicen oph send nerdez trans .. “ ahora aplico carta arirosas poder ” música yugioh,0,0,0,1,1,0
330,agh_bo adal_gvc lloren jotos,0,1,0,0,0,0
331,faitelson_espn puto gordito moral distraída satanizando renalgon ibarra,0,1,0,0,0,0
332,cago risa twit joto dio cuenta corona hahaha,0,1,0,0,0,0
333,`` url '' sneeil :speak-no-evil_monkey::grinning_face_with_sweat::grinning_face_with_smiling_eyes:,0,0,0,0,1,0
334,rigodelarosa_ tira pare si usted bien joto quiere,0,1,0,0,0,0
335,toco gay uber:frowning_face:,0,1,0,0,0,0
336,pinche estupido marica wey quítate aparato alv :expressionless_face:,0,1,0,0,0,0
337,iamfernandabec oi noma mariquita escandalosa,0,1,0,0,0,0
338,chinita sigue creyendo frank `` hombre '' mayate gimnasio,0,1,0,0,0,0
339,evilblackmx acidminds ¡si pinch redes sociales jotas usan corazones repente hace años url,0,1,0,0,0,0
340,carlos_riveero dyra_nicole aiii puto mayates jaja asta ke violen campeche,0,1,0,0,0,0
341,capispeaking travesti vato vestido transexual vato chichi transgénero vato pilin,0,0,0,1,0,0
342,andes llorón joto,0,1,0,0,0,0
343,veracru tierra mayates hermosas mujeres url,0,1,0,0,0,0
344,felipecalderon botella alchol borracho pendejo q secsenio nunca bajó menos maricon peña,0,1,0,0,0,0
345,wey peda rolitas lady gaga sale jotita interna,0,1,0,0,0,0
346,sabemono rimando contigo puñal,0,1,0,0,0,0
347,pinche maricon pendejo neta ojalá url:face_with_symbols_on_mouth::face_with_symbols_on_mouth::face_with_symbols_on_mouth::face_with_symbols_on_mouth: url,0,1,0,0,0,0
348,solo jotos url,0,1,0,0,0,0
349,"marcelo sueños guajiros fraude pendejo hocicon maricon cobarde ignorante mentiroso irresponsable fox corrió irresponsable pendejo dejaste quemar do judiciales ,además cuentas pendientes desgraciado arrastrado lamebotas amo dueño amlo url",0,1,0,0,0,0
350,¿porque puedo hablar aborto post moderno “ individuo especie humana útero ” transexuales tampoco útero post moderno “ chtm discurso odio cavernícola retrógrada pinche dios ” así razonan :smiling_face_with_sunglasses:,0,0,0,1,0,0
351,rdz_roberto donrober_ si sabemos perder marica,0,1,0,0,0,0
352,si va vestir puta años halloween menos año si pónganse desodorante luego anda bien hedionda suspensorio arnés imitación piel sudado lleno meco desconocido respeto,0,1,0,0,1,0
353,estiempode mande mensaje grupo mariquita mauhcorona,0,1,0,0,0,0
354,¿y si tierraplanistas viven espacio polidimensional tierra si plana ¿y si persona no-euclidianas ¿y si circumferencia identitaria trans-planos url,0,0,0,0,1,0
355,xjaguayo chumeltorres jajajajajaja solo contesta calan closetero chumel jajajaja,0,1,0,0,0,0
356,maldito marica envidioso deja criticar gt lt,0,1,0,0,0,0
357,putas maricas pueden tocar quebraron puto pie puro pinché drama,0,1,0,0,0,0
358,peor americanista maricón :winking_face: tigre cree grande jajajajaja,0,1,0,0,0,0
359,“ cualquier actor actriz puede hacer cualquier papel ” ustedes trans molestan veo si propuesto halle berry ser próximo batman,0,0,0,1,0,0
360,mauriciopedroza amo molotov ukrania vivió compa martindelp dudo canten “ puto ” “ rayando sol ” éxito allá…,0,1,0,0,0,0
361,ttu tirando trol bizco sifilitico loca jajajajjajajaj,0,0,0,0,1,0
362,últimamente ando intolerante mirada lasciva pinch jotos aromperhocicos,0,1,0,0,0,0
363,comprobado ser trans efecto secundario clonación url,0,0,0,1,0,0
364,juncalssolano callase hocico pinche transformer matraquero url,0,0,0,1,0,0
365,jefe puñal botarate pendejo saludos url,0,1,0,0,0,0
366,wey sano juicio dedica `` canción amor '' i 'll never love gaga j canción despedida canción romántica dedicar pareja actual sirven maricones url,0,1,0,0,0,0
367,adan_coromoto nicolasmaduro par maricones,0,1,0,0,0,0
368,santosfdz juanburgos empresarios jotos cuentas dólares lado,0,1,0,0,0,0
369,mejor modo confesar horrible decir “ oigan todes ” seguido así deleznable bien pueden decir enterraron jfk colosio luego parrandón homosexual gente solo va leer superar “ todes ” url,0,1,0,0,0,0
370,maricon,0,1,0,0,0,0
371,año chica guapa ojalá soltera año guapa ojalá feminista transgénero bisexual lesbiana pansexual,1,0,1,1,1,0
372,chivochelero stark_spiderman cara imbecil deberías pensártela do veces tirar carrilla we mm igualito periodista puñal gordo lentes aparte te humilde deja wilo puto,0,1,0,0,0,0
373,anahi asco persona muñequita homosexual pendejo mínimo haz alimenta ¡zorra,0,1,0,0,0,0
374,mariquitas mariquitas niñas siempre gritan url,0,1,0,0,0,0
375,carlosloret epn realdonaldtrump lopezobrador_ modos nadie cree solo sabemos periodista amarillista homosexual,0,1,0,0,0,0
376,alguien bien nena mariquita flojo además quiere aceptarlo,0,1,0,0,0,0
377,ascunmx jackskinripper rivero_vic url ando url si url buenos putos url,0,1,0,0,0,0
378,da mucha risa lenchas creen chingo realidad nadie pela ridículas,1,0,0,0,0,0
379,superalo quiso lesbiana buscate wey coge verga,1,0,0,0,0,0
380,ser bien feo tener madral dinero ser gay,0,1,0,0,0,0
381,anibal_alvarado maricas amarillo hacen pasar rayados crear mal ambiente torno rayados,0,1,0,0,0,0
382,alfonsineb mauriziosann josealemano oscar_dorantes jeglemqz pablorubenv kapeyo linea_caliente ponchito ser politicus primero evita parranda baile gay ok mala url url,0,1,0,0,0,0
383,metik pinche puto seguramente mete cosas,0,1,0,0,0,0
384,si sabemos pone cuatro chela aquí vienes tuitear haces difícil jota ridícula,1,1,0,0,0,0
385,lebron diva reclama ojalá jugado piston knicks viera madriza mariquita `` rey '',0,1,0,0,0,0
386,florivonveliz nunca dicho multimedios pareces vato transformer arreglate,0,0,0,1,0,0
387,reporte_indigo hombre den luz sociedad pervertida degenerada dominada transgéneros,0,0,0,1,0,0
388,zangavii zangavii gay solo así entiende accionar fama maricones piensa gana emoción,0,1,0,0,0,0
389,pinche maricon url,0,1,0,0,0,0
390,johnerencastle eduardo verástegui terminó mayate políticos deja trabajar televisa,0,1,0,0,0,0
391,m_ebrard gobiernomx conforman onu putos jotos url,0,1,0,0,0,0
392,puto unfollow ahora deje tw fav,0,1,0,0,0,0
393,si gente supiera marica manda biblias whatsapp caería teatro `` siento bien vergas '',0,1,0,0,0,0
394,ta jota foto vdd,0,1,0,0,0,0
395,pptnlk monchepepe invictossomos si verdad ve joto :see-no-evil_monkey::face_with_rolling_eyes::rolling_on_the_floor_laughing:,0,1,0,0,0,0
396,chivas jotos maricones jorgevergara url,0,1,0,0,0,0
397,macho alfa respeta anda mamadas usar guantes entrenar pinch afeminados huevos adorno pendejos,0,1,0,0,0,0
398,caroruix ahhh entonces amiga closetera ma,1,0,0,0,0,0
399,cnnmex bravo ¡ ¡ ¡ homosexuales involucren look modelos,0,1,0,0,0,0
400,lomásleídodelai » envían `` machorras '' cereso url,1,0,0,0,0,0
401,cc jotos hombre usan `` cc '',0,1,0,0,0,0
402,tener álbumes justin itunes convierte gay verdad,0,1,0,0,0,0
403,cperaza aletzbravo puedes maricon,0,1,0,0,0,0
404,marica pareces :squinting_face_with_tongue:,0,1,0,0,0,0
405,jotita michoacána,0,1,0,0,0,0
406,emigamuza alguien quiere pagar pinche marica,0,1,0,0,0,0
407,pinche morro meco traes mazda estacionas doble espacio rayen :face_with_tears_of_joy: ferrari joto,0,1,0,0,0,0
408,josebuendiamx escribapersonal supuesto venganzas homosexual reprimido,0,1,0,0,0,0
409,ahora resulta hombre pinch lesbianas váyanse chingada pinche mundo loco url,1,0,0,0,0,0
410,arturodammarnal lopezobrador_ puñales perfil,0,1,0,0,0,0
411,bizbiriije tigresoficial gracieve bizbiriije tigresoficial jotito rayado enamorado quiere contesten jaja,0,1,0,0,0,0
412,-jajaja piiiinche joto pinto uñas joto -tu mamá,0,1,0,0,0,0
413,chido masaje cagante ultimo di cuenta puto:face_without_mouth::collision::water_pistol:,0,1,0,0,0,0
414,andreaurriza manceramiguelmx amigo jotos,0,1,0,0,0,0
415,kirk cameron “ dios odia gay van ir infierno ” escogí ser heterosexual esos… url,0,1,0,0,0,0
416,acabo acordar juanpa dijo mamá pensó lesbiana ven si urge novio,1,0,0,0,0,0
417,tosscomayor jackskinripper hace quieren coger par mayates,0,1,0,0,0,0
418,rturrent helldevice sergiosarmiento inmoral joto,0,1,0,0,0,0
419,puro joto va escuela hoy,0,1,0,0,0,0
420,amigo hoy pude hacer sentadillas agusto horrible homosexual veía nalgas,0,1,0,0,0,0
421,beto enrique plaza sésamo pareja salir ¡por favaar fuerza ser gay,0,1,0,0,0,0
422,ojalá puñal pueda ir usa,0,1,0,0,0,0
423,fernanfloo a hecho dige geometry dash juegues nivel online marica puto miedos mierda maricon,0,1,0,0,0,0
424,qp loca lesbiana:new_moon_face::flushed_face:,1,0,0,0,0,0
425,mega puto turbo ultra come sable url,0,1,0,0,0,0
426,daría oso novio pusiera joto amigo anda bien pedo medicenchu fosizaldivar url,0,1,0,0,0,0
427,jotos gdl aire diva plz,0,1,0,0,0,0
428,artusantillanes dile medrano q joto hable mal mugre empresa vendan equipo,0,1,0,0,0,0
429,`` respetamos decisión fulano '' frase tanhueca ypuñetas yvacía ajajaja osea dequésirve esmásbien decir caga joto,0,1,0,0,0,0
430,danielgcalderon cortaste pelo marica,0,1,0,0,0,0
431,palopalitom visaje marica sé ve peor sabemos ...,0,1,0,0,0,0
432,pajaropolitico newsweekespanol chingue madre ello joto madrina orate rt,0,1,0,0,0,0
433,abandonadostv yorshdepolanco julietagrajales viendo q sé ve bn joto jul mejor impresión cada día url,0,1,0,0,0,0
434,hombre emocionan ir corona capital usan kotex fuman mentolados ódienme pinch jotos :face_with_tears_of_joy:,0,1,0,0,0,0
435,mañana podrán salir delincuentes estaran crudos borrachos gano equipo maricas,0,1,0,0,0,0
436,albertochavezv marchaheterosexual putas trato especial todavía indesisos queden camino machin,0,0,0,0,1,0
437,mariquita url,0,1,0,0,0,0
438,tenia ser hermano jajaja igual pinch jotos dos:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,0,1,0,0,0,0
439,vatos gay enfrente besaron bien cabron sentí violado,0,1,0,0,0,0
440,¿putito refieres,0,1,0,0,0,0
441,caballonegro ok señalen solo hombre mujeres trans da aaaaaaaaaa,0,0,0,1,0,0
442,chivasfemenil jajajajaja we si así pegue jotos :man_facepalming_light_skin_tone:,0,1,0,0,0,0
443,julio jotas ridículas jaja,0,1,0,0,0,0
444,sabía maricas tan descarado :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy: url,0,1,0,0,0,0
445,soyecchi mayatitos :drooling_face::drooling_face:quiero,0,1,0,0,1,0
446,joto queriendo hacer gol fingiendo falta tipicodelamerica,0,1,0,0,0,0
447,jeetchiapas jajajajajajaja puto,0,1,0,0,0,0
448,cosas vale verga jotas mundo decirle tipa mujer mejor dile puta suena menos mal si haces homie url,0,1,0,0,1,0
449,‘ fin saliste escondite mariquita ericksolana url vía youtube,0,1,0,0,0,0
450,josuegonzaleztv blancoduran tigresfemenil rayelizalder mtyfollow '' bloqueare insulte '' quieres té taza princesa disney jotito,0,1,0,0,0,0
451,cervezas light jotos ser :face_with_rolling_eyes::face_with_rolling_eyes::face_with_rolling_eyes: embarcadero nuevo nativitas url,0,1,0,0,0,0
452,lamentable seguidores hombre tan homosexuales url,0,1,0,0,0,0
453,súper poder tener puro fan joto horror,0,1,0,0,0,0
454,lalord_ quitó marica,0,1,0,0,0,0
455,el_mas_callado url travesti trans :face_with_rolling_eyes:,0,0,0,1,0,0
456,personajesilustrescegl karla villarreal niño '' maricon '' mordio hijo,0,1,0,0,0,0
457,señor eliabito sienta bien televisión debería ser conductor tv noma hable huevos escucha joto jajaja,0,1,0,0,0,0
458,pinche joto igual ve horrendo filtros vato vurl mejor siga puta posteando fotos calzones viajando mundo puta jeta quasimodo,0,1,0,0,0,0
459,conchitawurstque pitos toca goldenglobes maldito joto feo url,0,1,0,0,0,0
460,chumeltorres ahí dice claramente aparte joto mitomano url,0,1,0,0,0,0
461,beatrizgmuller ledvarela puta madre si sigues joto culo hacha lado haces agua jajajajaja jajajajaja,0,1,0,0,0,0
462,favor ma grande pueden hacer jotas adoran llamar atención través polémica ignorarlas,0,1,0,0,0,0
463,kymberlybebita tomen cuenta va dejar plantados maricon pocos huevos url,0,1,0,0,0,0
464,pinche grupito puros putos mmes,0,1,0,0,0,0
465,waze mariquitas verdadero macho alfa lomo plateado barba cerrada nalga torneada mete instinto animal dice,0,1,0,0,0,0
466,vucetichmeteme veracruz jotos jajajajaja,0,1,0,0,0,0
467,cogió maldito marica,0,1,0,0,0,0
468,travesti jajajajaja broma,0,0,0,1,0,0
469,mecos maricas nacos peor combinación mundo,0,1,0,0,0,0
470,mepongoborrachopor puro gusto depresion maricas xd,0,1,0,0,0,0
471,joto ma feo,0,1,0,0,0,0
472,hombre gay ma estéticos refinados lesbianas machine url saludos comunidad lgbt,1,1,0,0,0,0
473,solo vine gritarle `` puto '' portero león damita url :relieved_face::sign_of_the_horns_medium-light_skin_tone:,0,1,0,0,0,0
474,chinga madre viejo maricon,0,1,0,0,1,0
475,popperdelrey ketchuy lástima maricas borraron comentarios arrepentidos asustados,0,1,0,0,0,0
476,juan_mhm joto,0,1,0,0,0,0
477,olegaraveug así homosexual despiertas hahaha,0,1,0,0,0,0
478,transexual belindapop bloqueo instagram :face_with_crossed-out_eyes: url,0,0,0,1,0,0
479,hersanmx gainfante nolocuentestv así maricon palabra jajaja patetico,0,1,0,0,0,0
480,exatlonmx antonio_rosique mariquita capitán campeón mundial comporta así puyol podría enseñar modales,0,1,0,0,0,0
481,tmfcoficial clubsantos deciodemaria irarragorri mayates dice si causan asco,0,1,0,0,0,0
482,hombre trans baño mujeres url,0,0,0,1,0,0
483,¿ cree correcto podamos utilizar palabra maricón sancionan rae avala url,0,1,0,0,0,0
484,gaboo_o joto invitate ver juego sabado jijiujiuj,0,1,0,0,0,0
485,mclovinzdu joto veníamos ahorrando gasolina,0,1,0,0,0,0
486,jajaja gay,0,1,0,0,0,0
487,hmgerardo pinche puñal aparte joto teladas bien vergas hediondo primero paga carro q rentas pendejo,0,1,0,0,0,0
488,pinche joto próximo fin salgo,0,1,0,0,0,0
489,trío jotos,0,1,0,0,0,0
490,fresatigre blanks_rayada vez joto barba,0,1,0,0,0,0
491,goooooooool gooooool rayado maricon,0,1,0,0,0,0
492,maricon jajajaja url,0,1,0,0,0,0
493,homosexuales mostrar foto mano arañada gato si morir,0,1,0,0,0,0
494,maricas ven corazones cada tweet,0,1,0,0,0,0
495,slam rocodromo culos toodos miedosos maricas,0,1,0,0,0,0
496,url eitlife gustaría existirán gay diputada morena url,0,1,0,0,0,0
497,considero open mind límites conocí tipo dice ser binario/queer usa bigote barba usa tacones bota prosti ropa niñas verdad raya ridículo causa intriga pasará mente persona :thinking_face:,0,0,0,0,1,0
498,molotovmx alfredojalifer_ orazioaguirre julioperezbpc navegaciones aguirrevictorh joseameadek lvidegaray epn gay respeto ande ofrecido,0,1,0,0,0,0
499,“ piko_glez mayates jajaja comprenderas jaja ” jaja tulipán jajaja,0,1,0,0,0,0
500,p.d activa cuenta puto grupito pinché maricon cobarde,0,1,0,0,0,0
501,iba decir mamá mejor digo jiménez puñal cuahumello analfabeto lainez inflado sirve ochoa mamada portero creo ofende sigue ser :face_with_tears_of_joy::face_with_tears_of_joy:,0,1,0,0,0,0
502,iloveramgsi marica,0,1,0,0,0,0
503,joseloordz joto malvibroso pasa viendo twitter :face_with_tears_of_joy::rolling_on_the_floor_laughing:,0,1,0,0,0,0
504,elizasonrisas ballartaexiste kha ahora vayas decir trans así,0,0,0,1,0,0
505,niños transgénero '' deja entrar escuela '' url gobiernodf amievajoserra vidallerenas jacquie_lhoist,0,0,0,1,1,0
506,esq marica eolarra salió cosas mera hora pude hacerte invitación tqhija,0,1,0,0,0,0
507,—esto asalto deme dinero nadie saldrá herido —¿me van violar —no señora —¿porqué jotos '',0,1,0,0,0,0
508,marica palabras url,0,1,0,0,0,0
509,queremos golpear gente gay queremos negarles acceso educación queremos crezcan familias url,0,1,0,0,0,0
510,weeee tipo llega joto pegaste semanas pasadas sienta lado mesa url,0,1,0,0,0,0
511,poropompom salte chemo maricon,0,1,0,0,0,0
512,joto sepa jugar mario kart hetero sabe jugar fifa shame on you,0,1,0,0,0,0
513,arrobalo viejo joto,0,1,0,0,0,0
514,dímelo cara joto,0,1,0,0,0,0
515,cara maricon cobarde pocos huevos accionnacional uaem url,0,1,0,0,0,0
516,danieltorruco jaja osea solo piensas equipo cero ver comentario naco gato ardido puto,0,1,0,0,0,0
517,hdzcontreras joto capi,0,1,0,0,0,0
518,jota gritó si dejando ir fondo lubricante masterchefmx,0,1,0,0,0,0
519,fernandeznorona arráncatela viejo joto,0,1,0,0,0,0
520,acabé temporada rupaul 's drag race días regret,0,0,0,0,1,0
521,marca así maricas realmadrid :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,0,1,0,0,0,0
522,bachesdemexico diazpol alfredolecona felipecalderon ¿son maricas si ¿son pareja si rt,0,1,0,0,0,0
523,transitan echándote luce largas segun prisa rebasan menso adelante alcanzas semáforo tan ma mariquitas,0,1,0,0,0,0
524,dijeee borrado fín tambien selección lesión marica tambien borrado fer_capital url,0,1,0,0,0,0
525,nullkir nononono ley trans código penal dice quedas .. forma arete,0,0,0,1,1,0
526,el_viejopaulino diegomortera jvillarrealn jajajajajajajaja salió llorando joto cabron jajjj,0,1,0,0,0,0
527,mely_dgr sábado p creo q si pelo wero jajaja habla jotito q vive casa sabes,0,1,0,0,0,0
528,puig_ricardo meme maricon,0,1,0,0,0,0
529,buenos dia j closeteras obvias diciembre deseo corazón vayan berga dia me :middle_finger_light_skin_tone:,0,1,0,0,0,0
530,laloespana mariquita calzones,0,1,0,0,0,0
531,_itzelarizpe pues bien aclaro lesbiana bonitas salen porno así tacubaya,1,0,0,0,0,0
532,hoy salieron azules url ¡salieron escondite mariquitas juegocolosal url,0,1,0,0,0,0
533,chale haciendo maricon rolas paulina rubio trabajo cantando solo falta bailarlas fin yonosoyesamujer paulinarubio,0,1,0,0,0,0
534,puto llora viendo titanic puto enojaba llevaba balón,0,1,0,0,0,0
535,subeteamimoto jotó puedo caeeeer remixfist url,0,1,0,0,1,0
536,pregunto estara mariquita,0,1,0,0,0,0
537,uuuuyyy encontré joya cómo marica imbécil fernandeznorona respeto comunidad :smiling_face_with_open_hands: pinche perro quiero topar mendigo huevón vividor url,0,1,0,0,0,0
538,cruz_azul_fc ¡cómo caga siempre ventaja convierten putos maricones ahí friegan carajo,0,1,0,0,0,0
539,puñal canelo url,0,1,0,0,0,0
540,existen varios tipos homosexuales gustan mismo sexo fuman mentolado dan retwittear jajaja:winking_face::winking_face:,0,1,0,0,0,0
541,compa bien marica curado vato :face_with_tears_of_joy::face_with_tears_of_joy:,0,1,0,0,0,0
542,mandaron chorizo puñal url,0,1,0,0,0,0
543,sancadillanorte lahinchadamx toda historias rayados inventado sinergia escrito libro famoso mil noches lamentable bueno entiende si líder jotito sabalero :man_shrugging_light_skin_tone:,0,1,0,0,0,0
544,estebanmqzg puto primero burla crack luego llora encaran marica,0,1,0,0,0,0
545,¿alguien sabe si joto dijo karina sabia bailar comió,0,1,0,0,0,0
546,después esperar tenis ahora oír estupideces comentarios innecesarios además voz joto joseluisclerc tenisxespn,0,1,0,0,0,0
547,cc crush primaria habla si mejores amigo mundo jajaja joto acordaba existencia mm,0,1,0,0,0,0
548,donvocero silvanoaureoles lopezobrador_ pide pruebas llevan zurra así maricon,0,1,0,0,0,0
549,pollobv puto mierda después carrera :thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::OK_hand: hdp,0,1,0,0,0,0
550,conocido gay :nauseated_face:,0,1,0,0,0,0
551,pinché sociedad jota aguantan alv,0,1,0,0,0,0
552,`` mundo brutos hombre putos '' elcallejóndelosmilagros felizmiércoles url,0,1,0,0,0,0
553,vatos sacan lado marica morras lado sharmuta,0,1,0,0,0,0
554,escucha joto si digo dentro año quiero físico parecerza giancarlo stanton v,0,1,0,0,0,0
555,`` hijo santo pinche gringo puñal '' asì gritan aquí,0,1,0,0,0,0
556,marianadurazom maricas vamos comprar mejor empezar escribir historias :smiling_face_with_smiling_eyes:,0,1,0,0,0,0
557,luddano donporfiriodiaz va mandar fusilar maricón,0,1,0,0,0,0
558,chicovelalcocer sergiosarmiento preguntarle mejor maricón miguel ángel mancera término,0,1,0,0,0,0
559,juanistofelez crei superaría multa marica :smirking_face:,0,1,0,0,0,0
560,feo altura quieran taparle ojo macho seguir closeteros neta do veía precio pues ojalá despechado mandado verga closetero bi quizá solo culero,0,1,1,0,0,0
561,darachkmarti franpholland opinión tema actores/actrices trans cero broncas persona ci haga papel persona trans entonces dejen joder den papeles ci gente trans inversa,0,0,0,0,1,0
562,lesbianas salen comer paga cuenta yomisogino,1,0,0,0,0,0
563,venga maricones chivas empiezan caer jueguen bien carajo dejen putos,0,1,0,0,0,0
564,abrazado joto url,0,1,0,0,0,0
565,joto obsesionado peso wurl,0,1,0,0,0,0
566,_tiogamboin menos acá oaxaca nacemos tan mongoles gay tal `` gamboín '' podemos hacer `` taco pastor '' trompo cuerpo darte `` sushi '' claro su- url :hot_pepper: :face_with_tears_of_joy::face_with_tears_of_joy:,0,1,0,0,0,0
567,¡queeeeeee pinch tigres maricones,0,1,0,0,0,0
568,establecimiento discrimina aunque prietos gordas jotos nacas pobres ñoños putas licenciados etc primero paz,0,1,0,0,0,0
569,cabe duda visto medio vato viste super gay:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,0,1,0,0,0,0
570,emmanueljulian do marica da igual :rolling_on_the_floor_laughing::face_with_tears_of_joy::rolling_on_the_floor_laughing:,0,1,0,0,0,0
571,hablador puto,0,1,0,0,0,0
572,beatrizgmuller siempre asnos maricas primera filum parece frustración viene familia siempre señora buen talante dando molesta consejo,0,1,0,0,0,0
573,metería bote loca sino hijueputa juez dejó libertad hace me,0,1,0,0,1,0
574,órale huevos cabron salió bien puñal guey url,0,1,0,0,0,0
575,grito homófobo fifa multa méxico do millones peso url vía regeneracionmx bien defender homosexuales único van conducir destrucción familia depravados basta protagonismo,0,1,0,0,0,0
576,va gym haces pesas sientes brazos therock vez espejo pendejo tomándose fotos pal feis selfie maricas,0,1,0,0,0,0
577,dparamooficial hablan ejimenezalvarez gt puto,0,1,0,0,0,0
578,edgardbeltran traen jotos,0,1,0,0,0,0
579,hacia cambio sexo gratis daniel maldito joto cobarde yonocreoenloshombres,0,1,0,0,0,0
580,jackskinripper ccancunenses joto alto tremendo puto¡,0,1,0,0,0,0
581,mismo decir aquel santifica fiesta pecando adentro casa orgias pedo url alguien nace hombre mujer esencia siempre aquel enamora trans gay huevo closetero url,0,0,0,1,0,0
582,amigas solteronas mejor den gracias tocayín san antonio dado novio falso panzón borracho closetero pinche feo,0,1,0,0,0,0
583,premio mellizos putos url url,0,1,0,0,0,0
584,jtrianat eljuntapalabras 'puñal mugroso,0,1,0,0,0,0
585,jajaajajajaajajajajaa jotos temen dios url,0,1,0,0,0,0
586,jimenice capitan america marica cambio tony amigo asesino,0,1,0,0,0,0
587,si mujer definitivamente url mujeres perfección,0,0,0,0,1,0
588,perro asco da afición regia nadie cerró osico puñetas gritando atrás así queman morras pack sacan dirección teléfono así quemen marica cheve ojo marica hombre huevos u gay url,0,1,0,0,0,0
589,celsoeibarra aaaayy si debe chida actuación hombre keke trans,0,0,0,1,0,0
590,vecinos noche proyectaremos festivalmix documental flavioflorencio vicemexico « trans » pm callejón url,0,0,0,0,1,0
591,sancadillanorte jajaja tenian ser jotos amargo foto rayados jajaja,0,1,0,0,0,0
592,si transexuales rostro tan tosco mujeres perfecta supercuerpos,0,0,0,1,0,0
593,trolebuses desgobierno epn idiotas pone valeria dice pito travesti clitoris desarrollado,0,0,0,1,0,0
594,puedes nacer homosexual mentira,0,1,0,0,0,0
595,estupido marica mentiroso ignorante realdonaldtrump confunde tragedia tan marcada eu newyork url,0,1,0,0,0,0
596,bren_bau marica,0,1,0,0,0,0
597,pinch científicos pillos economizar desarrollo biocombustibles nel vamos investigar cuáles animales suelen ser bisexuales lol,0,0,1,0,1,0
598,quién coño iría ver asqueroso travesti pitudo maullar :face_with_medical_mask: url,0,0,0,1,0,0
599,encantan jotos arde cabron dice quieres ellos:face_with_tears_of_joy::clapping_hands:,0,1,0,0,0,0
